time_sec,speed_mph,speed_kmh
716.0,22.5,36.21024
717.0,21.6,34.76183040000001
718.0,20.5,32.991552
719.0,18.0,28.968192000000002
720.0,15.0,24.14016
721.0,12.0,19.312128
722.0,9.0,14.484096000000001
723.0,6.2,9.977932800000001
724.0,4.5,7.2420480000000005
725.0,3.0,4.828032
726.0,2.1,3.3796224000000006
727.0,0.5,0.804672
728.0,0.5,0.804672
729.0,3.2,5.149900800000001
730.0,6.5,10.460736
731.0,9.6,15.4497024
732.0,12.5,20.1168
733.0,14.0,22.530816
734.0,16.0,25.749504
735.0,18.0,28.968192000000002
736.0,19.6,31.543142400000004
737.0,21.5,34.600896000000006
738.0,23.1,37.175846400000005
739.0,24.5,39.428928
740.0,25.5,41.038272000000006
741.0,26.5,42.647616
742.0,27.1,43.613222400000005
743.0,27.6,44.41789440000001
744.0,27.9,44.9006976
745.0,28.3,45.5444352
746.0,28.6,46.02723840000001
747.0,28.6,46.02723840000001
748.0,28.3,45.5444352
749.0,28.2,45.3835008
750.0,28.0,45.061632
751.0,27.5,44.25696000000001
752.0,26.8,43.130419200000006
753.0,25.5,41.038272000000006
754.0,23.5,37.819584000000006
755.0,21.5,34.600896000000006
756.0,19.0,30.577536000000002
757.0,16.5,26.554176000000002
758.0,14.9,23.979225600000003
759.0,12.5,20.1168
760.0,9.4,15.127833600000002
761.0,6.2,9.977932800000001
762.0,3.0,4.828032
763.0,1.5,2.414016
764.0,1.5,2.414016
765.0,0.5,0.804672
766.0,0.0,0.0
767.0,3.0,4.828032
768.0,6.3,10.1388672
769.0,9.6,15.4497024
770.0,12.9,20.760537600000003
771.0,15.8,25.427635200000005
772.0,17.5,28.163520000000002
773.0,18.4,29.6119296
774.0,19.5,31.382208000000002
775.0,20.7,33.3134208
776.0,22.0,35.405568
777.0,23.2,37.3367808
778.0,25.0,40.2336
779.0,26.5,42.647616
780.0,27.5,44.25696000000001
781.0,28.0,45.061632
782.0,28.3,45.5444352
783.0,28.9,46.5100416
784.0,28.9,46.5100416
785.0,28.9,46.5100416
786.0,28.8,46.349107200000006
787.0,28.5,45.866304
788.0,28.3,45.5444352
789.0,28.3,45.5444352
790.0,28.3,45.5444352
791.0,28.2,45.3835008
792.0,27.6,44.41789440000001
793.0,27.5,44.25696000000001
794.0,27.5,44.25696000000001
795.0,27.5,44.25696000000001
796.0,27.5,44.25696000000001
797.0,27.5,44.25696000000001
798.0,27.5,44.25696000000001
799.0,27.6,44.41789440000001
800.0,28.0,45.061632
801.0,28.5,45.866304
802.0,30.0,48.28032
803.0,31.0,49.889664
804.0,32.0,51.499008
805.0,33.0,53.108352000000004
806.0,33.0,53.108352000000004
807.0,33.6,54.07395840000001
808.0,34.0,54.717696000000004
809.0,34.3,55.200499199999996
810.0,34.2,55.03956480000001
811.0,34.0,54.717696000000004
812.0,34.0,54.717696000000004
813.0,33.9,54.5567616
814.0,33.6,54.07395840000001
815.0,33.1,53.269286400000006
816.0,33.0,53.108352000000004
817.0,32.5,52.30368
818.0,32.0,51.499008
819.0,31.9,51.3380736
820.0,31.6,50.85527040000001
821.0,31.5,50.69433600000001
822.0,30.6,49.24592640000001
823.0,30.0,48.28032
824.0,29.9,48.1193856
